"#","Marca","X (0-1)","Y (0-1)","Ubicación / referencia"
"1","PU","0.291","0.135","Baño Personal Mujeres, junto al lavamanos"
"2","PU","0.37","0.161","Puerta Baño Personal Hombres, junto a cota 0.8"
"3","PU","0.431","0.157","Entre Baño Mujeres y Hombres, junto a cota 0.8"
"4","PU","0.653","0.153","Puerta Baño Personal (derecha), junto a cota 0.8"
"5","VE","0.736","0.174","Muro derecho de Cocina (superior)"
"6","VE","0.736","0.198","Muro derecho de Cocina"
"7","VE","0.736","0.253","Muro derecho de Cocina"
"8","VE","0.736","0.278","Muro derecho de Cocina (inferior)"
"9","PU","0.174","0.28","Bajo Bodega, hacia Punto Aplicación Rasante izquierdo"
"10","PU","0.212","0.303","NUEVO - junto al anterior, hacia Punto Aplicación Rasante izquierdo (antes no marcado)"
"11","VE","0.392","0.295","Izquierda del vano ES, junto a cota 1.5"
"12","ES","0.478","0.268","Vano arqueado central, junto a cota 1.5"
"13","VE","0.562","0.294","Derecha del vano ES, junto a cota 1.5"
"14","PU","0.35","0.411","Dentro de Cocina (sala central)"
"15","PU","0.293","0.444","Entre Cocina y Pasillo"
"16","PU","0.471","0.482","Puerta Cocina-Pasillo, junto a cota 1.6"
"17","VE","0.75","0.314","Bodega (derecha), en el muro que la separa de la Cocina superior"
"18","PU","0.661","0.482","Puerta Baño Universal, junto a cota 0.9"
"19","PU","0.836","0.482","Salida Baño Universal hacia escalera, junto a cota 0.5"
"20","ES","0.674","0.537","Escalera (numeración 2-8), junto a cota 1.4"
"21","VE","0.221","0.519","Terraza izquierda (muro)"
"22","VE","0.221","0.636","Terraza izquierda (muro, inferior)"
"23","PU","0.475","0.666","Cocina (Barra sin atención de público), junto a cota 1.6"
"24","PU","0.578","0.651","Junto a Oficina / escalera, cota 0.9"
"25","PU","0.542","0.712","Límite Cocina-Oficina, junto a cota 0.8 (+0.45)"
"26","VE","0.39","0.718","Muro inferior de Cocina (Barra)"
"27","VE","0.723","0.721","Muro inferior de Oficina"
"28","RA","0.43","0.771","Rampa Acceso Universal, junto a cota 1.3"
