"#","Tipo","X (0-1)","Y (0-1)","Nota"
"M1","MU","0.6211","0.317","Muro arco superior (izq.) - bajada sobre la linea doble, antes y=0.3069"
"M2","MU","0.708","0.317","Muro arco superior (der.) - bajada sobre la linea doble, antes y=0.3077"
"M5","MU","0.3155","0.3123","Muro Baño Clientes Mujeres (sup.) - centrada sobre el muro, antes y=0.3221"
"M6","MU","0.6021","0.3611","Muro Bodega derecha (interior)"
"M7","MU","0.3036","0.4037","Muro Baño Clientes Hombres"
"M8","MU","0.8541","0.4164","Muro Bodega derecha/Deslinde - movido a la izquierda sobre el muro rayado rojo, antes x=0.877"
"M9","MU","0.6863","0.4735","Muro Bodega derecha/Pasillo - centrado sobre el muro"
"M10","MU","0.2141","0.4743","Muro Baño Clientes Hombres (izq.)"
"M11","MU","0.4016","0.4809","Muro Pasillo"
"M12","MU","0.6955","0.5734","Muro junto a escalera"
"M13","MU","0.5331","0.5754","Muro Pasillo/Oficina"
"M14","MU","0.7816","0.5899","Muro derecho, junto a Pasillo"
"M15","MU","0.215","0.63","Muro Oficina izquierda"
"M16","MU","0.5023","0.6406","Muro junto a cuarto pequeño (E31) - reubicado sobre el muro, antes x=0.4869"
"M17","MU","0.5048","0.6911","Muro junto a cota 1.4 - movido de vuelta hacia la linea roja delgada segun correccion del usuario (marcada como ""M1""); antes 0.5395,0.7012 sobre la pieza rayada ancha"
"M18","MU","0.4461","0.7307","Muro inferior Oficina"
"M19","MU","0.2384","0.3123","Muro junto a Baño Clientes Mujeres (entrada) - bajado sobre el muro, antes y=0.3055"
"M20","MU","0.2398","0.5098","NUEVA: muro en L a la derecha de M10 - bajado y centrado sobre el tramo horizontal de la L, antes (0.2715,0.5027) quedaba sobre el tramo vertical"
"M21","MU","0.3078","0.3421","NUEVA: muro corto debajo de M5, tramo vertical junto a Baño Clientes Mujeres"
"M22","MU","0.5023","0.5966","NUEVA: muro en rojo arriba de M16 (tramo vertical entre M13 y M16)"
"M24","MU","0.3618","0.5098","NUEVA: muro rojo Baño Clientes Hombres (2 de 4)"
"M25","MU","0.4179","0.5261","NUEVA: muro rojo Baño Clientes Hombres (3 de 4, borde derecho)"
"M26","MU","0.345","0.5696","NUEVA: muro rojo Baño Clientes Hombres (4 de 4, inferior)"
"M27","MU","0.4105","0.4296","NUEVA: muro rojo debajo de Bodega izquierda, tramo largo"
"M28","MU","0.5698","0.43","NUEVA: muro rojo debajo de Bodega izquierda, tramo corto (junto a cota 0.8)"
"M29","MU","0.2607","0.5696","NUEVA: muro inferior Baño Clientes Hombres, tramo izquierdo (mismo muro que M26, extremo izq.)"
"M30","MU","0.4185","0.5726","NUEVA: muro inferior Baño Clientes Hombres, tramo derecho (mismo muro que M26, extremo der.) - reubicado segun correccion del usuario, antes x=0.4610"
