"#","Tipo","X (0-1)","Y (0-1)","Nota"
"1","PU","0.285","0.1351","Baño Personal Mujeres - vuelta a la posicion sobre el texto PU original, segun correccion del usuario"
"2","PU","0.3675","0.168","Puerta Baño Personal Hombres, cota 0.8 - vuelta a la posicion sobre el texto PU original, segun correccion del usuario"
"3","PU","0.4302","0.1577","Entre Baño Mujeres y Hombres, cota 0.8 - vuelta a la posicion sobre el texto PU original, segun correccion del usuario"
"4","PU","0.6526","0.1562","Puerta Baño Personal derecha, cota 0.8 - y ajustada sobre el vano"
"5","VE","0.7047","0.1714","Muro Cocina (panel 1) - sobre el eje del muro"
"6","VE","0.7047","0.1979","Muro Cocina (panel 2) - centrada en el paño de ventana"
"7","VE","0.7047","0.2536","Muro Cocina (panel 4) - centrada en el paño de ventana"
"8","VE","0.7047","0.2802","Muro Cocina (panel 5, inferior) - centrada en el paño de ventana"
"9","PU","0.1596","0.2731","Bajo Bodega - reubicada sobre el arco de giro segun correccion del usuario, antes (0.1739,0.2836) sobre la linea cerrada"
"10","PU","0.2113","0.3006","Junto al anterior - reubicada mas abajo del muro segun correccion del usuario, antes (0.2096,0.2851) sobre la linea cerrada"
"11","VE","0.3883","0.2968","Izquierda del vano ES, cota 1.5 (ya sobre el muro)"
"12","ES","0.4752","0.2688","Vano arqueado central"
"13","VE","0.5542","0.294","Derecha del vano ES (ya sobre el muro)"
"14","PU","0.3236","0.4085","Dentro de Cocina - movida a la izquierda sobre el muro, antes en x=0.3537"
"15","PU","0.2911","0.4425","Entre Cocina y Pasillo (ya sobre la linea cerrada)"
"16","PU","0.4703","0.4831","Puerta Cocina-Pasillo, cota 1.6 (ya sobre la linea cerrada)"
"17","VE","0.75","0.314","Bodega derecha, muro con Cocina - confirmado OK por el usuario, sin cambios"
"18","PU","0.6622","0.4775","Puerta Baño Universal, cota 0.9 (ya sobre la linea cerrada)"
"19","PU","0.8345","0.482","Salida Baño Universal hacia escalera (sin cambios, ya centrada)"
"20","ES","0.674","0.537","Escalera"
"23","PU","0.4699","0.6496","Cocina Barra, cota 1.6 - subida segun correccion del usuario, antes y=0.6666"
"24","PU","0.5819","0.6497","Junto a Oficina/escalera, cota 0.9 (ya sobre la linea cerrada)"
"25","PU","0.5433","0.7123","Límite Cocina-Oficina, cota 0.8 (+0.45) (sin cambios)"
"26","VE","0.3868","0.731","Muro inferior Cocina (Barra) - bajada sobre el muro, antes y=0.7209"
"27","VE","0.7178","0.731","Muro inferior Oficina - bajada sobre el muro, antes y=0.7217"
"28","RA","0.4348","0.769","Rampa Acceso Universal"
"29","PU","0.7047","0.2259","Puerta a la derecha de la Cocina, muro Cocina/Baño Universal - recentrada en el vano (posible candidata a ""mas arriba centrada""; confirmar cual puerta se referia el usuario)"
"30","PU","0.5185","0.898","Puerta junto a cota 1.45, Acceso a Nivel (sin cambios)"
"31","VE","0.2405","0.5439","Ventana muro Terraza izquierdo (sin cambios)"
"32","VE","0.2405","0.665","Ventana muro Terraza izquierdo (sin cambios)"
"33","PU","0.1417","0.2989","NUEVA: puerta agregada segun grafico del usuario, muro a la izquierda de PU9/PU10 - reubicada mas abajo segun correccion del usuario, antes (0.1432,0.2843)"
