numero,titulo_breve,clasificacion,detalle,conectado_a_reglas_normativas
4.1.1,"Locales habitables/no habitables (definicion) + altura minima piso a cielo 2,30 m (2 m bajo vigas)",a,"Real y dimensional. NUEVO candidato: altura_minima_local_habitable_m=2.30. Sin consumidor hoy -- ningun script mide altura Z de un recinto (BIM no calcula altura de IfcSpace, PDF es 2D puro).",no
4.1.2,"Ventana obligatoria en locales habitables; 1,5 m distancia libre frontal en dormitorios",a,"Real. Ya usado como respaldo de ventilacion_iluminacion_pct (marcado SIN VERIFICAR el 10%%, este articulo es la fuente cualitativa real). El 1,5 m de distancia libre frontal no tiene consumidor (requeriria detectar obstaculos frente a cada ventana).",parcial (cita ya en reglas_normativas.py como respaldo, sin regla propia)
4.1.3,"Ductos de ventilacion para banos/cocinas sin ventana, seccion libre >= 0,16 m2",a,"Real y dimensional. NUEVO candidato: ducto_ventilacion_min_m2=0.16. Sin consumidor -- no se detectan ductos de ventilacion en el pipeline.",no
4.1.4,"Ventilacion de locales industriales/comerciales, area minima 1/12 del area del piso",a,"Real y dimensional (fraccion, no metro). NUEVO candidato. Sin consumidor -- no se clasifican estos usos hoy.",no
4.1.5,"Clasificacion acustica de locales en 4 grupos (taxonomia, sin umbral numerico)",b,"Verificado -- es clasificacion cualitativa, no fija un umbral chequeable por si sola.",n/a
4.1.6,"Exigencias acusticas entre unidades de vivienda: 45 dB(A) reduccion acustica, 75 dB impacto normalizado",b,"Verificado -- valores reales pero se acreditan por ensayo de laboratorio certificado (ISO 140/717, NCh 2785), no por geometria/atributos IFC. Fuera del alcance geometrico actual.",n/a
4.1.7,"Accesibilidad universal completa (ruta accesible, puertas, rampas, ascensores, banos accesibles, circulo de giro)",a,"YA CONECTADO extensamente: puerta_ancho_libre (N4), puerta_ancho_libre_bano_accesible (N6b), rampa (N2), circulo_giro_accesible_m.",si
4.1.8,"Remite al Codigo Sanitario y DFL 1/1989 MINSAL, sin norma propia",b,"Verificado -- referencia a otro cuerpo legal, no fija nada por si mismo.",n/a
4.1.9,"Autorizacion sanitaria de edificaciones que la requieran; verificacion por autoridad sanitaria (no DOM)",b,"Verificado -- competencia de otro organismo (Seremi de Salud), no chequeable por ArchiCheck.",n/a
4.1.10,"Acondicionamiento termico completo: transmitancia/resistencia termica, ventanas por orientacion, infiltracion de aire, condensacion, ventilacion mecanica (19 sub-secciones, multiples tablas por zona termica)",b,"Verificado -- fuero de mandato actual: requiere datos de materiales/ensayos de laboratorio y zona termica del proyecto, no geometria chequeable desde IFC/plano. Posible frente futuro distinto (eficiencia energetica), no arquitectonico-geometrico.",n/a
4.1.11,"Ascensores: dotacion obligatoria, estudio de trafico, cabina minima 1,40x1,10x2,20 m, puerta 0,90 m",a,"Real y dimensional. NUEVO candidato: ascensor_cabina_min (profundidad 1.40 / ancho 1.10 / altura 2.20 / puerta 0.90). Sin consumidor -- no se clasifica IfcTransportElement en el pipeline hoy.",no
4.1.12,"Aislacion acustica de instalaciones mecanicas (cualitativo, sin numero)",b,"Verificado -- cualitativo, sin umbral.",n/a
4.1.13,"Distanciamiento entre edificios colectivos no contiguos con vanos: 1/4-1/3-1/2 de altura de piso segun tabla de rasantes regional",a,"Real y dimensional, pero de EMPLAZAMIENTO/conjunto (no de un elemento individual) -- requeriria geometria de todo el conjunto/multiples edificios, complejidad de implementacion alta. Sin consumidor.",no
4.1.14,"Distancias minimas entre fachadas de unidades independientes en edificio colectivo: 6 m (vano-vano), 3 m (vano-sin vano), 3 m (no habitable-no habitable)",a,"Real y dimensional, misma complejidad de emplazamiento que 4.1.13. Sin consumidor.",no
4.1.15,"Igual que 4.1.14 pero para viviendas unifamiliares en extension: 4 m / 2 m / 2 m",a,"Real y dimensional, misma complejidad de emplazamiento. Sin consumidor.",no
4.1.16,"Aguas lluvias: prohibido derramar sobre terreno adyacente/vias publicas sin canalizar (cualitativo, sin numero)",b,"Verificado -- cualitativo, sin umbral chequeable.",n/a
4.1.17,"Sistema de reutilizacion de aguas grises obligatorio sobre 5.000 m2 de superficie edificada (excepto vivienda)",a,"Real, umbral de superficie total del proyecto (no de un elemento). Calculable si se suma el area total del proyecto -- candidato factible a mediano plazo, no implementado hoy.",no
