id,tipo,cx_rel,cy_rel,ancho_aprox_m,notas
GT-N1-PU01,puerta,0.285,0.1351,,"Baño Personal Mujeres, junto al lavamanos"
GT-N1-PU02,puerta,0.3675,0.168,,"Puerta Baño Personal Hombres, cota 0.8"
GT-N1-PU03,puerta,0.4302,0.1577,,"Puerta entre Baño Personal Mujeres y Hombres, cota 0.8"
GT-N1-PU04,puerta,0.6526,0.1562,,"Puerta Baño Personal (derecha), cota 0.8"
GT-N1-VE01,ventana,0.7047,0.1714,,"Ventana muro Cocina, panel superior"
GT-N1-VE02,ventana,0.7047,0.1979,,"Ventana muro Cocina, segundo panel"
GT-N1-VE03,ventana,0.7047,0.2536,,"Ventana muro Cocina, panel inferior"
GT-N1-VE04,ventana,0.7047,0.2802,,"Ventana muro Cocina, panel inferior (extremo)"
GT-N1-PU05,puerta,0.1596,0.2731,,"Puerta bajo Bodega, sobre el arco de giro"
GT-N1-PU06,puerta,0.2113,0.3006,,"Puerta junto a la anterior, bajo Bodega"
GT-N1-VE05,ventana,0.3883,0.2968,,"Ventana a la izquierda del vano arqueado central, cota 1.5"
GT-N1-ES01,escalera,0.4752,0.2688,,Vano arqueado central (paso entre Cocina y Bodega derecha)
GT-N1-VE06,ventana,0.5542,0.294,,Ventana a la derecha del vano arqueado central
GT-N1-PU07,puerta,0.3236,0.4085,,"Puerta dentro de Cocina, sobre el muro"
GT-N1-PU08,puerta,0.2911,0.4425,,Puerta entre Cocina y Pasillo
GT-N1-PU09,puerta,0.4703,0.4831,,"Puerta Cocina-Pasillo, cota 1.6"
GT-N1-VE07,ventana,0.75,0.314,,"Ventana muro de Bodega derecha, colindante con Cocina"
GT-N1-PU10,puerta,0.6622,0.4775,,"Puerta Baño Universal, cota 0.9"
GT-N1-PU11,puerta,0.8345,0.482,,Puerta de salida del Baño Universal hacia la escalera
GT-N1-ES02,escalera,0.674,0.537,,Escalera
GT-N1-PU12,puerta,0.4699,0.6496,,"Puerta Cocina (Barra), cota 1.6"
GT-N1-PU13,puerta,0.5819,0.6497,,"Puerta junto a Oficina/escalera, cota 0.9"
GT-N1-PU14,puerta,0.5433,0.7123,,"Puerta límite Cocina-Oficina, cota 0.8 (+0.45)"
GT-N1-VE08,ventana,0.3868,0.731,,Ventana muro inferior de Cocina (Barra)
GT-N1-VE09,ventana,0.7178,0.731,,Ventana muro inferior de Oficina
GT-N1-RA01,rampa,0.4348,0.769,,Rampa de Acceso Universal
GT-N1-PU15,puerta,0.7047,0.2259,,"Puerta a la derecha de la Cocina, muro Cocina/Baño Universal"
GT-N1-PU16,puerta,0.5185,0.898,,"Puerta de Acceso a Nivel, junto a cota 1.45"
GT-N1-VE10,ventana,0.2405,0.5439,,Ventana muro Terraza izquierdo
